ID,Job Title,Salary,Experience,Company,Details,Address,Employees,Date,Link
Job ID: 432330,Assistant Accounting Manager,N/A,Managerial / Supervisory,Redland Properties Inc.,"Preferably Certified Public Accountant
Must have at least 1 to 2 years related experience
Experience in Real Estate is an advantage
Has advanced Microsoft Excel Skills and Hands on experience in Accounting Software
With excellent verbal & written communications skills
Willing to work onsite","38 Gorordo Ave., Kamputhaw, Cebu City, Cebu",11-50 employees,"Posted On: August 2, 2023",https://www.mynimo.com/jobs/view/432330/cebu/assistant-accounting-manager?location=cebu&is_overseas=false&category=Accounting%20%2F%20Finance&category_name=accounting-finance&level&tab=cebu
Job ID: 428707,Loans Processing Supervisor,N/A,Managerial / Supervisory,Redland Properties Inc.,"In-House
Bank
HDMF (once available)
Other third party financing (Once available)
Tagging of accounts to monitor seasoning period of accounts for financing
Coordinate and assist Finance Department in securing project accreditation from the financing institutions
Follow-up and collation of requirements from the buyers based on chosen financing scheme
Coordinate with Property Management (PM) all accounts that are seasoned for financing so they can prepare the units are ready for move-in once approved of In-House Financing or loan proceeds has been released by the financing institution
Coordinate with the financing institutions the list of buyers seasoned for loan application for their initial assessment
Docketing of requirements for submission to the financing institutions
Monitoring of loan applications
Assist buyers who were disapproved by financing institutions to transfer to In-House financing
Assist buyers in the settlement of any loan difference if approved loan by the financing insttuition is less than the remaining balance of the TCP
Endorse accounts who are approved of financing to PM so they can facilitate move-in process such us sending of invitation for unit inspection, punch-listing, unit/key turn over, facilitate association membership, and others
Endorsement of collected loan proceeds to Treasury for issuance of Receipt, deposit and proper recording thereof
Issuance of the Certificate of Full Payment once TCP for the unit has been fully settled
Follow-up of monthly installments and sending of appropriate notices if under In-House financing
Endorsement of moved-in buyers with defaulting accounts under In-House financing to Legal once Notice of Cancellation (NOC) has lapsed for eviction proceedings
Other tasks which may be assigned
A graduate of any 4-year business-related course which includes but is not limited to BS Commerce Major in Finance, BS Management Accounting, BS Business Administration
Must have experience as Loans Processor in a real estate company
Excellent in communication skills both verbal and written
Strong record-keeping ability for various trackers and monitoring reports
Solid experience in Customer Service for both internal and external clients
Ability to interact comfortably and effectively with a diverse clientele","Kamputhaw, Cebu City, Cebu",11-50 employees,"Posted On: August 2, 2023",https://www.mynimo.com/jobs/view/428707/cebu/loans-processing-supervisor?location=cebu&is_overseas=false&category=Accounting%20%2F%20Finance&category_name=accounting-finance&level&tab=cebu
Job ID: 432790,Loans Processing Associate,N/A,1 Year or Less,Golden Topper,"Will be in-charge of processing the loan balance of our buyers either thru the following financing schemes:
In-House
Bank
HDMF (once available)
Other third party financing (Once available)
In-House
Bank
HDMF (once available)
Other third party financing (Once available)
A graduate of any 4-year business-related course which includes but is not limited to BS Commerce Major in Finance, BS Management Accounting, BS Business Administration
Must have experience as Loans Processor in a real estate company
Excellent in communication skills both verbal and written
Strong record-keeping ability for various trackers and monitoring reports
Solid experience in Customer Service for both internal and external clients
Ability to interact comfortably and effectively with a diverse clientele
Tagging of accounts to monitor seasoning period of accounts for financing.
Coordinate and assist Finance Department in securing project accreditation from the financing institutions.
follow-up and collation of requirements from the buyers based on chosen financing scheme.
coordinate with Property Management (PM) all accounts that are eligible for move-in.
Docketing of requirements for submission to the financing institutions.
Monitoring of loan applications.
assist buyers who were disapproved by financing institutions to transfer to in-House financing.
Assist buyers in the settlement of any loan difference.
follow-up of monthly installments and sending of appropriate notices.
and all other duties and responsibilities which are not limited to these that may be assigned to you by the management.","38 Gorordo Ave., Kamputhaw, Cebu City, Cebu",11-50 employees,"Posted On: August 2, 2023",https://www.mynimo.com/jobs/view/432790/cebu/loans-processing-associate?location=cebu&is_overseas=false&category=Accounting%20%2F%20Finance&category_name=accounting-finance&level&tab=cebu
Job ID: 388229,Sales Documentation Assistant - Commission Processor (Real Estate),N/A,2 to 4 Years,Golden Topper,"Graduate in BS Accountancy, Management Accounting, Business Management or other related discipline
1-2 year experience from real estate industry
Highly organized and keen attention to details
With strong analytical and research skills
Can work independently or with others in a team
Must have excellent communication and negotiation skills
Can multi-task, prioritize and deadline-conscious
Proficient in spreadsheet and accounting systems
Can work and manage pressure
Can start ASAP
Checks requirements for accreditation of agents and brokers
Encode Agent and Brokers Information in IFCA
Monitors Agents and Broker Sales subjected for commission
Computes for the commission to be paid to the agents and broker as scheduled
Forward the commission for payment processing to the Accounting
Prepares the Monthly Commission Report","3rd Floor the Premier Business Loft, D. Jakosalem St., Zapatera, Cebu City, Cebu",11-50 employees,"Posted On: August 2, 2023",https://www.mynimo.com/jobs/view/388229/cebu/sales-documentation-assistant---commission-processor-real-estate?location=cebu&is_overseas=false&category=Accounting%20%2F%20Finance&category_name=accounting-finance&level&tab=cebu
Job ID: 433218,Account Receivable Coordinator,N/A,1 Year or Less,Savers Depot,"At least 1-3 years experience in Accounts Receivable role.
Agile in monitoring of payments, reconciliation, follow-ups.
Good analytical and problem-solving skills.
Ability to prioritize and meet deadlines efficiently within fast-paced environment.
Proficient in MS applications.
Good leadership and communication skills.
SAP background is a plus.
Amenable to work on site.","E.O. Perez St., North Reclamation Area, Subangdaku, Mandaue City, Cebu",51-200 employees,"Posted On: August 2, 2023",https://www.mynimo.com/jobs/view/433218/cebu/account-receivable-coordinator?location=cebu&is_overseas=false&category=Accounting%20%2F%20Finance&category_name=accounting-finance&level&tab=cebu
Job ID: 429262,Finance Manager,N/A,Managerial / Supervisory,"Interior Crafts of The Islands, Inc.","Bachelor’s degree in accounting, finance, business administration or another related field;
At least 5 years working experience in a Finance/Accounting position ideally in a manufacturing industry
Has the ability to drive change
Effectively leverages functional and cross-functional resources to solve problems, improve processes and meet objectives
Organized, efficient, reliable, discreet, and flexible in a highly dynamic and multi-tasked environment
Can work and communicate effectively with people from different backgrounds
Must be able to maintain the highest standard of confidentiality and professionalism
Manage and oversee the general functions of accounting/finance department
Responsible for formulating and implementing various accounting and financial policies and procedures and controls needed
Prepares Financial Statements and supporting schedules for both internal and external financial statement users
Oversees the payment related to various Governmental Agencies among others, BIR, SSS, PHIC, and HDMF
Develops and maintains financial reporting systems to ensure the integrity of finances based on sound accounting procedures and controls
Coordinates with External and BIR Audit Personnel in the conduct of their audit, discussing matters relating to their audit findings and reports to management for proper information and decision
Ensures accurate, timely filing of tax returns
Maintain effective control procedures over all aspects of the tax process
Responsible for performance evaluation of Accounting and Finance Team as well as providing constructive feedback and training as needed
Ensures the team metrics and goals and deadlines are met","3-A General Maxilom Avenue, Carreta, Cebu City, Cebu",201-500 employees,"Posted On: August 2, 2023",https://www.mynimo.com/jobs/view/429262/cebu/finance-manager?location=cebu&is_overseas=false&category=Accounting%20%2F%20Finance&category_name=accounting-finance&level&tab=cebu
Job ID: 433872,Accounting Assistant- Accounts Payable,N/A,1 Year or Less,"7th DCNC Worldwide, Inc.","Monitoring & Payment of reoccurring expenses (rental, utilities, professional fees and subscription)
Vouchering of payables
Recording to system
Supplier Profile Updating
Prepare budget of purchases & expenses on a weekly, quarterly and yearly basis
2307 Certificate preparation (if applicable)
Monitor payables & past dues
Encashment, deposit & bank updating
Scheduling of payments
Must be a BS Accounting or Finance graduate or equivalent
Detail-oriented with good analytical skills is a must.
Basic accounting knowledge.
Fast and accurate data entry skills.
Ability to speak and interact clearly and professionally.
Extremely organized. Strong multi-tasking and time-management skills.
Can handle sensitive information with the highest degree of integrity and confidentiality.
Ability to work on multiple projects simultaneously while maintaining accuracy.
Open for Fresh Graduate","Unit 101-103 Krisdale Commercial Center, AC Cortes Ave., Ibabao-Estancia, Mandaue City, Cebu",51-200 employees,"Posted On: August 2, 2023",https://www.mynimo.com/jobs/view/433872/cebu/accounting-assistant--accounts-payable?location=cebu&is_overseas=false&category=Accounting%20%2F%20Finance&category_name=accounting-finance&level&tab=cebu
Job ID: 432354,Accounting Head,N/A,Managerial / Supervisory,Cebu Glascrafter Phil. Corp.,"A Graduate of BS Accountancy
Must be a Certified Public Accountant
Has at least six (6) years of accounting work experience, with at least 3 years of supervisory or manager level experience
Must be well-versed in all accounting facets
Highly flexible, organize and can withstand pressure
Ability to quickly adjust to new work environment
Able to understand and effectively communicate with different levels in the organization","Tingub, Mandaue City, Cebu",51-200 employees,"Posted On: August 2, 2023",https://www.mynimo.com/jobs/view/432354/cebu/accounting-head?location=cebu&is_overseas=false&category=Accounting%20%2F%20Finance&category_name=accounting-finance&level&tab=cebu
Job ID: 432355,AP Analyst,N/A,1 Year or Less,Cebu Glascrafter Phil. Corp.,"Graduate of BS in Finance, Accounting, Business Administration or related discipline
With at least (1) year experience in the same field but fresh graduates are welcome
Solid understanding of basic bookkeeping and accounting payable principles
Proficient in Microsoft productivity software such as Excel and word
High degree of accuracy and attention to detail
Effective oral and written communications
Proficient in dealing with numbers","Tingub, Mandaue City, Cebu",51-200 employees,"Posted On: August 2, 2023",https://www.mynimo.com/jobs/view/432355/cebu/ap-analyst?location=cebu&is_overseas=false&category=Accounting%20%2F%20Finance&category_name=accounting-finance&level&tab=cebu
Job ID: 430463,Accounting Staff,N/A,2 to 4 Years,Molave Suites,"Graduate of BS Management Accounting, or any business-related course
Preferably Female, computer literate, and with a background in Accounting
Knowledgeable in payroll preparation, statutory benefits processing, and BIR compliance
Honest, loyal, and hardworking
Must be flexible, a team player, and with good interpersonal skills
Proactive, takes initiative, manifests analytical problem-solving skills, and can work well under pressure with less supervision
Work experience of at least 2 years as an Accounting Staff and Benefits In-charged is an advantage
Applicants that do not meet our qualification requirements will not be entertained.","Molave St., Kamputhaw, Cebu City, Cebu",51-200 employees,"Posted On: August 2, 2023",https://www.mynimo.com/jobs/view/430463/cebu/accounting-staff?location=cebu&is_overseas=false&category=Accounting%20%2F%20Finance&category_name=accounting-finance&level&tab=cebu
Job ID: 433441,Senior Accounting Specialist,N/A,2 to 4 Years,Hi-Speed Construction Corp.,"Graduate of Bachelor of Science in Accountancy
With at least 3-4 years work experience
Knowledgeable in any accounting software
Highly skilled in financial accounting and reporting - with extensive knowledge in Philippine Financial Reporting Standards and Taxation
Highly organized and systematic with strong organization skills
Able to work independently as well as in a team environment
Excellent communication and presentation skills
Counterchecks submission of external reports to regulatory bodies (BIR, SEC, and etc.)
Filing and remittance of taxes, and submission of audit requirements
Preparation and review of audited financial statements
Maintain external books of accounts
Coordinate with External Accountant
Create and upload payments for BIR
Oversees the processing of necessary licenses and permits","Banilad, Mandaue City, Cebu",501-1000 employees,"Posted On: August 2, 2023",https://www.mynimo.com/jobs/view/433441/cebu/senior-accounting-specialist?location=cebu&is_overseas=false&category=Accounting%20%2F%20Finance&category_name=accounting-finance&level&tab=cebu
Job ID: 433618,Bookkeeper,N/A,2 to 4 Years,Hi-Speed Construction Corp.,"Graduate of any course related to Accountancy/Management Accountancy
Competent with accounting jobs, analytical
BIR filings thru manual/eFPs facility
At least 2 years or more relevant work experience
Practical knowledge in accounting and finance
Knowledgeable of BIR regulations
Assist in managing financial transactions and records, including accounts payable, accounts receivable, and general ledger
Verify the accuracy of invoices, purchase orders, and other accounting documents
Reconcile bank statements and prepare financial reports
Assist in the preparation of financial statements and other reports as needed
Perform administrative tasks such as answering phones, filing, and data entry
Maintain accurate and up-to-date financial records and documentation
Assist in the preparation of budgets and forecasts
Other duties as assigned by the Accounting Manager","Banilad, Mandaue City, Cebu",501-1000 employees,"Posted On: August 2, 2023",https://www.mynimo.com/jobs/view/433618/cebu/bookkeeper?location=cebu&is_overseas=false&category=Accounting%20%2F%20Finance&category_name=accounting-finance&level&tab=cebu
Job ID: 431814,Billing Specialist,N/A,1 Year or Less,Rutherford and Hacienda Enterprises Inc.,"Highly motivated professionals who have no desire for a call center work and schedule
Accounting Graduates Preferred
Computer Literate, i.e Excel, Word, PDF
Minimum typing speed of 40 WPM
With Experience
13k to 15k plus 1,500 allowance within 3 to 5 months.
18k to 20k with relevant experience.","Unit 2-605, 6th Floor Oakridge IT Center 2, Oakridge Business Park, 880 A.S. Fortuna Street, Banilad, Mandaue City, Cebu",11-50 employees,"Posted On: August 2, 2023",https://www.mynimo.com/jobs/view/431814/cebu/billing-specialist?location=cebu&is_overseas=false&category=Accounting%20%2F%20Finance&category_name=accounting-finance&level&tab=cebu
Job ID: 433356,Accounting Assistant,N/A,2 to 4 Years,UHA Caregiver Training ZaNiViV Corporation,"Bachelor’s degree in accounting, finance, or any related field
At least 2 years of working experience as an accounting assistant or similar role
Excellent attention to detail and accuracy in data entry and financial record keeping
Proficiency in using accounting software and MS applications, especially Excel and Google Drive platform","White Rose, Yati, Liloan, Cebu",11-50 employees,"Posted On: August 2, 2023",https://www.mynimo.com/jobs/view/433356/cebu/accounting-assistant?location=cebu&is_overseas=false&category=Accounting%20%2F%20Finance&category_name=accounting-finance&level&tab=cebu
Job ID: 433357,Accounting Policy Writer,N/A,2 to 4 Years,UHA Caregiver Training ZaNiViV Corporation,"Bachelor’s degree in accounting, finance, or any related field
At least 2 years of working experience as an accounting policy writer or similar role
Strong research and analytical skills with the ability to interpret complex accounting regulations
Willing to be assigned in Liloan, Cebu
Can start immediately","White Rose, Yati, Liloan, Cebu",11-50 employees,"Posted On: August 2, 2023",https://www.mynimo.com/jobs/view/433357/cebu/accounting-policy-writer?location=cebu&is_overseas=false&category=Accounting%20%2F%20Finance&category_name=accounting-finance&level&tab=cebu
Job ID: 432778,Work From Home Licensed Financial Advisor | Enjoy Attractive Commission-Based Package!,N/A,1 Year or Less,"Sun Life of Canada (Philippines), Inc. - Grand Elm NBO","Assess client's current financial situation, and develop a realistic plan to meet those goals.
Help clients put the plan into action.
Monitors investments against clients' plan regularly, and help them revise the clients plan as their needs change.
Attend meetings, events and trainings to keep abreast of the latest market developments
Report and provide feedback to the field manager
Meet personal productivity targets
College level or Graduate of any 4 years course
With at least 6 months’ work experience
Computer use competency with access to stable internet connection
Highly coachable and eager to succeed
Experience in field sales is not required but a plus.
With entrepreneurial mindset
Excellent communication, negotiation, interpersonal, and time management skills are a must
Applicants with experience can be offered managerial positions
Career motivated individuals are welcome
Introverted individuals who wanted more for themselves
100% work from home arrangement during pandemic
Attractive commission-based remuneration package and unlimited earning potential
Local and International travel opportunities
An open culture where leaders listen to feedback
Strong and guided training and support provided
Fast track career development","Work From Home, Cebu","10,000+ employees","Posted On: August 2, 2023",https://www.mynimo.com/jobs/view/432778/cebu/work-from-home-licensed-financial-advisor--enjoy-attractive-commission-based-package?location=cebu&is_overseas=false&category=Accounting%20%2F%20Finance&category_name=accounting-finance&level&tab=cebu
Job ID: 433853,Accounting Associate (AR) - Cebu Based,"PHP 15,000 - 18,000 per month",1 Year or Less,Johndorf Ventures Corporation,"Ensures timely and accurate posting of accounts receivable  transactions to the accounting systems (SAP/RE/SAGE) to  facilitate consolidation of data for aging reports
Ensures timely updating of monitoring files related to the  abovementioned transactions
Ensures timely month-end closing procedures are completed
Ensures proper cancellation of buyer accounts in the system to  prevent duplication and data anomalies
Ensures that data provided by Accounts Receivable section for use  by Accounting and other departments are correct and reliable
Ensures proper checking of postings in AR accounts to provide  and balance between collaborating departments regarding  accounts receivable data and concerns
Coordinates with the tax compliance team regarding statutory  reportorial requirements related to Accounts Receivables and  collections
Provide support to other departments and third parties as needed
Other tasks that may be delegated or assigned by superiors from  time to time.","14F Ayala Life FGU Center, Cebu Business Park, Luz, Cebu City, Cebu",51-200 employees,"Posted On: August 2, 2023",https://www.mynimo.com/jobs/view/433853/cebu/accounting-associate-ar---cebu-based?location=cebu&is_overseas=false&category=Accounting%20%2F%20Finance&category_name=accounting-finance&level&tab=cebu
Job ID: 433080,Accounting Specialist,N/A,No Experience,Atlas Fertilizer Corporation,"BS in Accountancy Graduate / CPA
Preferably with experience in a manufacturing company
Willing to relocate in Toledo City, and to travel
With good moral character","Daanglungsod, Toledo City, Cebu",201-500 employees,"Posted On: August 2, 2023",https://www.mynimo.com/jobs/view/433080/cebu/accounting-specialist?location=cebu&is_overseas=false&category=Accounting%20%2F%20Finance&category_name=accounting-finance&level&tab=cebu
Job ID: 432897,Urgent! Cost Accounting Staff,N/A,1 Year or Less,Miesto International Food Corporation,"Graduate in Bachelor of Science in Accountancy or
Management Accounting
With at least 1-2 years of experience in cost accounting
Computer literate
Honest and hardworking
Can work with less supervision
Willing to render overtime work if needed","c/o Shemberg Marketing Compound J. P. Rizal, Basak, Mandaue City, Cebu",201-500 employees,"Posted On: August 2, 2023",https://www.mynimo.com/jobs/view/432897/cebu/urgent-cost-accounting-staff?location=cebu&is_overseas=false&category=Accounting%20%2F%20Finance&category_name=accounting-finance&level&tab=cebu
Job ID: 433067,Financial Analyst,N/A,1 Year or Less,Julie's Franchise Corporation,"Analyses business and financial data.
Creates financial models bases on analyses to support organizational decision making.
Develops financial plans and reports for organizational leaders.
Analyzes industry trends and makes recommendations based on those trends.
Develops automated reporting and forecasting tools for more efficient use of data.
Performs other related duties as assigned.
Bachelor’s degree preferably with a major in accounting, finance or statistics.
At least 2 years of experience in a finance or accounting related functions.
Ability to work with large datasets.
Excellent verbal and written communication skills.
Thorough understanding of methods of systems analysis and the principles, design, and procedural methods used in big data analysis.
Thorough understanding of project management.
Excellent organizational skills and attention to detail.
Proven analytical and financial modeling skills","C. Padilla St., corner Duljo-Fatima, Duljo, Cebu City, Cebu",1001-5000 employees,"Posted On: August 2, 2023",https://www.mynimo.com/jobs/view/433067/cebu/financial-analyst?location=cebu&is_overseas=false&category=Accounting%20%2F%20Finance&category_name=accounting-finance&level&tab=cebu
Job ID: 433846,Auditor,N/A,1 Year or Less,Charlton Trade and Enterprise,"Examine and verify the financial records and statements of an organization or individual
Identify and report any errors, fraud, or non-compliance with laws and regulations
Recommend and implement improvements to the accounting systems and controls
Prepare and present audit reports and findings to the management
Conduct internal and external audits in accordance with the auditing standards and procedures
Bachelor’s degree in Accounting, Finance, or related field
1 year of experience in auditing or accounting
Knowledge of accounting principles, auditing techniques, and tax laws
Skills in communication, analysis, problem-solving, and attention to detail","AE-111 Velasquez St., Subangdaku, Mandaue City, Cebu",11-50 employees,"Posted On: August 2, 2023",https://www.mynimo.com/jobs/view/433846/cebu/auditor?location=cebu&is_overseas=false&category=Accounting%20%2F%20Finance&category_name=accounting-finance&level&tab=cebu
Job ID: 431450,Internal Auditor,N/A,1 Year or Less,Mandarin Plaza Hotel,"Has an Bachelor’s degree in Accounting, Management Accounting or any related course.
Must be literate in basic computer programs and operations such as Microsoft Word and Excel.
At least 1 year relevant work experience in offices or hotels.
Has an excellent analytical and problem solving skill.
Effective organizational skills and ability to maintain confidentiality regarding financial and employee files.
Should possess strong interpersonal skills, including very good oral and written communication skills.
Thorough knowledge of account practices/procedures and proven investigative skills is required.","Archbishop Reyes Avenue corner Escario Street, Kamputhaw, Cebu City, Cebu",51-200 employees,"Posted On: August 2, 2023",https://www.mynimo.com/jobs/view/431450/cebu/internal-auditor?location=cebu&is_overseas=false&category=Accounting%20%2F%20Finance&category_name=accounting-finance&level&tab=cebu
Job ID: 433564,Accounting Assistant,N/A,No Experience,Mandarin Plaza Hotel,"Bachelor’s degree in Business Administration or any other job-related course work.
Fresh Graduates are welcome to apply
Has an excellent clerical ability and is able to maintain a high level of accuracy in making financial information
Has an excellent analytical and problem-solving skill.
Effective organizational skills.
Computer literate.
Ability to maintain confidentiality regarding financial and employee files.
Related work experience is not needed but is an advantage","Archbishop Reyes Avenue corner Escario Street, Kamputhaw, Cebu City, Cebu",51-200 employees,"Posted On: August 2, 2023",https://www.mynimo.com/jobs/view/433564/cebu/accounting-assistant?location=cebu&is_overseas=false&category=Accounting%20%2F%20Finance&category_name=accounting-finance&level&tab=cebu
